fecha,letra,empresas
2007-01-01,A,315
2007-01-01,B,90
2007-01-01,C,3613
2007-01-01,D,3
2007-01-01,E,8
2007-01-01,F,36
2007-01-01,G,1009
2007-01-01,H,108
2007-01-01,I,7
2007-01-01,J,148
2007-01-01,K,-99
2007-01-01,L,50
2007-01-01,M,80
2007-01-01,N,54
2007-01-01,P,-99
2007-01-01,Q,3
2007-01-01,R,6
2007-01-01,S,33
2007-01-01,Z,27
2007-02-01,A,338
2007-02-01,B,82
2007-02-01,C,3480
2007-02-01,D,5
2007-02-01,E,8
2007-02-01,F,33
2007-02-01,G,973
2007-02-01,H,104
2007-02-01,I,9
2007-02-01,J,122
2007-02-01,K,-99
2007-02-01,L,41
2007-02-01,M,89
2007-02-01,N,57
2007-02-01,P,3
2007-02-01,Q,4
2007-02-01,R,8
2007-02-01,S,28
2007-02-01,Z,23
2007-03-01,A,361
2007-03-01,B,88
2007-03-01,C,3792
2007-03-01,D,3
2007-03-01,E,9
2007-03-01,F,37
2007-03-01,G,1040
2007-03-01,H,109
2007-03-01,I,8
2007-03-01,J,148
2007-03-01,K,-99
2007-03-01,L,50
2007-03-01,M,91
2007-03-01,N,65
2007-03-01,P,-99
2007-03-01,Q,3
2007-03-01,R,9
2007-03-01,S,39
2007-03-01,Z,27
2007-04-01,A,359
2007-04-01,B,75
2007-04-01,C,3594
2007-04-01,D,6
2007-04-01,E,10
2007-04-01,F,28
2007-04-01,G,973
2007-04-01,H,94
2007-04-01,I,7
2007-04-01,J,127
2007-04-01,K,3
2007-04-01,L,46
2007-04-01,M,88
2007-04-01,N,60
2007-04-01,P,3
2007-04-01,Q,5
2007-04-01,R,7
2007-04-01,S,31
2007-04-01,Z,28
2007-05-01,A,376
2007-05-01,B,86
2007-05-01,C,3809
2007-05-01,D,3
2007-05-01,E,11
2007-05-01,F,40
2007-05-01,G,1050
2007-05-01,H,130
2007-05-01,I,4
2007-05-01,J,130
2007-05-01,K,6
2007-05-01,L,45
2007-05-01,M,93
2007-05-01,N,61
2007-05-01,P,4
2007-05-01,Q,4
2007-05-01,R,12
2007-05-01,S,32
2007-05-01,Z,31
2007-06-01,A,344
2007-06-01,B,89
2007-06-01,C,3684
2007-06-01,D,3
2007-06-01,E,11
2007-06-01,F,50
2007-06-01,G,1056
2007-06-01,H,115
2007-06-01,I,7
2007-06-01,J,146
2007-06-01,K,6
2007-06-01,L,42
2007-06-01,M,97
2007-06-01,N,59
2007-06-01,P,4
2007-06-01,Q,5
2007-06-01,R,8
2007-06-01,S,33
2007-06-01,Z,28
2007-07-01,A,323
2007-07-01,B,86
2007-07-01,C,3798
2007-07-01,D,-99
2007-07-01,E,10
2007-07-01,F,38
2007-07-01,G,1061
2007-07-01,H,112
2007-07-01,I,7
2007-07-01,J,155
2007-07-01,K,7
2007-07-01,L,48
2007-07-01,M,99
2007-07-01,N,52
2007-07-01,P,3
2007-07-01,Q,5
2007-07-01,R,11
2007-07-01,S,24
2007-07-01,Z,31
2007-08-01,A,343
2007-08-01,B,93
2007-08-01,C,3872
2007-08-01,D,4
2007-08-01,E,6
2007-08-01,F,41
2007-08-01,G,1054
2007-08-01,H,118
2007-08-01,I,8
2007-08-01,J,158
2007-08-01,K,7
2007-08-01,L,47
2007-08-01,M,77
2007-08-01,N,59
2007-08-01,P,6
2007-08-01,Q,6
2007-08-01,R,8
2007-08-01,S,28
2007-08-01,Z,30
2007-09-01,A,310
2007-09-01,B,86
2007-09-01,C,3983
2007-09-01,D,7
2007-09-01,E,8
2007-09-01,F,40
2007-09-01,G,1073
2007-09-01,H,107
2007-09-01,I,8
2007-09-01,J,145
2007-09-01,K,4
2007-09-01,L,48
2007-09-01,M,106
2007-09-01,N,61
2007-09-01,P,5
2007-09-01,Q,3
2007-09-01,R,9
2007-09-01,S,28
2007-09-01,Z,35
2007-10-01,A,324
2007-10-01,B,84
2007-10-01,C,3964
2007-10-01,D,5
2007-10-01,E,7
2007-10-01,F,44
2007-10-01,G,1108
2007-10-01,H,125
2007-10-01,I,9
2007-10-01,J,147
2007-10-01,K,-99
2007-10-01,L,53
2007-10-01,M,92
2007-10-01,N,64
2007-10-01,P,4
2007-10-01,Q,4
2007-10-01,R,11
2007-10-01,S,32
2007-10-01,Z,34
2007-11-01,A,340
2007-11-01,B,91
2007-11-01,C,4059
2007-11-01,D,6
2007-11-01,E,8
2007-11-01,F,44
2007-11-01,G,1129
2007-11-01,H,129
2007-11-01,I,7
2007-11-01,J,153
2007-11-01,K,4
2007-11-01,L,66
2007-11-01,M,102
2007-11-01,N,71
2007-11-01,P,4
2007-11-01,Q,4
2007-11-01,R,10
2007-11-01,S,26
2007-11-01,Z,34
2007-12-01,A,350
2007-12-01,B,89
2007-12-01,C,3976
2007-12-01,D,4
2007-12-01,E,9
2007-12-01,F,48
2007-12-01,G,1120
2007-12-01,H,124
2007-12-01,I,6
2007-12-01,J,137
2007-12-01,K,-99
2007-12-01,L,60
2007-12-01,M,94
2007-12-01,N,61
2007-12-01,P,-99
2007-12-01,Q,6
2007-12-01,R,13
2007-12-01,S,27
2007-12-01,Z,43
2008-01-01,A,308
2008-01-01,B,87
2008-01-01,C,3613
2008-01-01,D,4
2008-01-01,E,5
2008-01-01,F,41
2008-01-01,G,1022
2008-01-01,H,100
2008-01-01,I,6
2008-01-01,J,134
