fecha,empresas
2007-01-01,5594
2007-02-01,5409
2007-03-01,5882
2007-04-01,5544
2007-05-01,5927
2007-06-01,5787
2007-07-01,5872
2007-08-01,5965
2007-09-01,6066
2007-10-01,6113
2007-11-01,6287
2007-12-01,6171
2008-01-01,5597
2008-02-01,5653
2008-03-01,5615
2008-04-01,6005
2008-05-01,6049
2008-06-01,5758
2008-07-01,6118
2008-08-01,5973
2008-09-01,6013
2008-10-01,6047
2008-11-01,5928
2008-12-01,5589
2009-01-01,5038
2009-02-01,5076
2009-03-01,5379
2009-04-01,5354
2009-05-01,5508
2009-06-01,5471
2009-07-01,5528
2009-08-01,5438
2009-09-01,5649
2009-10-01,5799
2009-11-01,5810
2009-12-01,5727
2010-01-01,5254
2010-02-01,5256
2010-03-01,5620
2010-04-01,5674
2010-05-01,5671
2010-06-01,5754
2010-07-01,5547
2010-08-01,5494
2010-09-01,5646
2010-10-01,5647
2010-11-01,5706
2010-12-01,5795
2011-01-01,5407
2011-02-01,5195
2011-03-01,5268
2011-04-01,5528
2011-05-01,5745
2011-06-01,5476
2011-07-01,5547
2011-08-01,5483
2011-09-01,5687
2011-10-01,5586
2011-11-01,5676
2011-12-01,5623
2012-01-01,5165
2012-02-01,4893
2012-03-01,5467
2012-04-01,5144
2012-05-01,5225
2012-06-01,5245
2012-07-01,5298
2012-08-01,5221
2012-09-01,5178
2012-10-01,5334
2012-11-01,5351
2012-12-01,5298
2013-01-01,4767
2013-02-01,4426
2013-03-01,5094
2013-04-01,4983
2013-05-01,5130
2013-06-01,4924
2013-07-01,4987
2013-08-01,4964
2013-09-01,4941
2013-10-01,4890
2013-11-01,4825
2013-12-01,4729
2014-01-01,4265
2014-02-01,4140
2014-03-01,4425
2014-04-01,4414
2014-05-01,4670
2014-06-01,4389
2014-07-01,4424
2014-08-01,4583
2014-09-01,4494
2014-10-01,4610
2014-11-01,4473
2014-12-01,4437
2015-01-01,4002
2015-02-01,3868
2015-03-01,4212
2015-04-01,4067
2015-05-01,4303
2015-06-01,4206
2015-07-01,4166
2015-08-01,4051
2015-09-01,4168
2015-10-01,4073
2015-11-01,4052
2015-12-01,3895
2016-01-01,3619
2016-02-01,3713
2016-03-01,3963
2016-04-01,4224
2016-05-01,4161
2016-06-01,3998
2016-07-01,4102
2016-08-01,4090
2016-09-01,4185
2016-10-01,4083
2016-11-01,4161
2016-12-01,4180
2017-01-01,3751
2017-02-01,3742
2017-03-01,3942
2017-04-01,3940
2017-05-01,4050
2017-06-01,3947
2017-07-01,4065
2017-08-01,4035
2017-09-01,4123
2017-10-01,3969
2017-11-01,4132
2017-12-01,4115
2018-01-01,3723
2018-02-01,3584
2018-03-01,4007
2018-04-01,3918
2018-05-01,3924
2018-06-01,3901
2018-07-01,4118
2018-08-01,4115
2018-09-01,3860
2018-10-01,4038
2018-11-01,3968
2018-12-01,4060
2019-01-01,3577
2019-02-01,3708
2019-03-01,3902
2019-04-01,3864
2019-05-01,4037
2019-06-01,3915
2019-07-01,4028
2019-08-01,4054
2019-09-01,4027
2019-10-01,4070
2019-11-01,4026
2019-12-01,4071
2020-01-01,3567
2020-02-01,3701
2020-03-01,3477
2020-04-01,2673
2020-05-01,3366
2020-06-01,3453
2020-07-01,3658
2020-08-01,3853
2020-09-01,3746
2020-10-01,3945
2020-11-01,3958
2020-12-01,3850
2021-01-01,3535
2021-02-01,3640
2021-03-01,3970
2021-04-01,3805
2021-05-01,3965
2021-06-01,3953
2021-07-01,4058
2021-08-01,3963
2021-09-01,4136
2021-10-01,3985
2021-11-01,3996
2021-12-01,4082
2022-01-01,3412
2022-02-01,3750
2022-03-01,3829
2022-04-01,3919
2022-05-01,4033
2022-06-01,3954
2022-07-01,3965
2022-08-01,3980
2022-09-01,4028
2022-10-01,3844
2022-11-01,3845
2022-12-01,3800
2023-01-01,3483
2023-02-01,3457
2023-03-01,3757
2023-04-01,3727
2023-05-01,3743
2023-06-01,3675
2023-07-01,3818
2023-08-01,3721
2023-09-01,3746
2023-10-01,3633
2023-11-01,3664
