fecha,clae2,empresas
2007-01-01,1,269
2007-01-01,2,18
2007-01-01,3,49
2007-01-01,5,-99
2007-01-01,6,25
2007-01-01,7,6
2007-01-01,8,37
2007-01-01,9,30
2007-01-01,10,587
2007-01-01,11,125
2007-01-01,12,12
2007-01-01,13,155
2007-01-01,14,104
2007-01-01,15,114
2007-01-01,16,68
2007-01-01,17,95
2007-01-01,18,49
2007-01-01,19,20
2007-01-01,20,351
2007-01-01,21,139
2007-01-01,22,331
2007-01-01,23,106
2007-01-01,24,79
2007-01-01,25,285
2007-01-01,26,116
2007-01-01,27,175
2007-01-01,28,323
2007-01-01,29,236
2007-01-01,30,19
2007-01-01,31,64
2007-01-01,32,82
2007-01-01,33,16
2007-01-01,35,3
2007-01-01,38,8
2007-01-01,41,10
2007-01-01,42,12
2007-01-01,43,17
2007-01-01,45,49
2007-01-01,46,906
2007-01-01,47,148
2007-01-01,49,24
2007-01-01,50,5
2007-01-01,51,6
2007-01-01,52,85
2007-01-01,56,8
2007-01-01,58,82
2007-01-01,59,22
2007-01-01,60,8
2007-01-01,61,10
2007-01-01,62,29
2007-01-01,63,-99
2007-01-01,64,3
2007-01-01,66,-99
2007-01-01,68,51
2007-01-01,69,5
2007-01-01,70,61
2007-01-01,71,20
2007-01-01,72,4
2007-01-01,73,6
2007-01-01,74,8
2007-01-01,75,-99
2007-01-01,77,12
2007-01-01,79,-99
2007-01-01,81,-99
2007-01-01,82,46
2007-01-01,84,-99
2007-01-01,85,-99
2007-01-01,86,3
2007-01-01,90,-99
2007-01-01,91,-99
2007-01-01,92,-99
2007-01-01,93,3
2007-01-01,94,10
2007-01-01,95,6
2007-01-01,96,27
2007-01-01,999999,89
2007-02-01,1,278
2007-02-01,2,17
2007-02-01,3,53
2007-02-01,5,-99
2007-02-01,6,24
2007-02-01,7,6
2007-02-01,8,33
2007-02-01,9,24
2007-02-01,10,582
2007-02-01,11,118
2007-02-01,12,11
2007-02-01,13,133
2007-02-01,14,100
2007-02-01,15,126
2007-02-01,16,75
2007-02-01,17,86
2007-02-01,18,48
2007-02-01,19,18
2007-02-01,20,327
2007-02-01,21,130
2007-02-01,22,311
2007-02-01,23,109
2007-02-01,24,74
2007-02-01,25,268
2007-02-01,26,111
2007-02-01,27,171
2007-02-01,28,353
