fecha,clae6,empresas
2007-01-01,11111,9
2007-01-01,11112,-99
2007-01-01,11119,12
2007-01-01,11121,5
2007-01-01,11129,-99
2007-01-01,11211,11
2007-01-01,11299,9
2007-01-01,11329,15
2007-01-01,11331,11
2007-01-01,11341,-99
2007-01-01,11342,-99
2007-01-01,11400,-99
2007-01-01,11911,-99
2007-01-01,12110,44
2007-01-01,12121,6
2007-01-01,12200,-99
2007-01-01,12311,24
2007-01-01,12319,-99
2007-01-01,12320,16
2007-01-01,12490,12
2007-01-01,12510,-99
2007-01-01,12600,-99
2007-01-01,12709,-99
2007-01-01,12800,-99
2007-01-01,12900,-99
2007-01-01,13011,4
2007-01-01,13012,-99
2007-01-01,13019,4
2007-01-01,13020,-99
2007-01-01,14113,17
2007-01-01,14221,5
2007-01-01,14410,4
2007-01-01,14610,-99
2007-01-01,14720,-99
2007-01-01,14810,-99
2007-01-01,14820,-99
2007-01-01,14910,3
2007-01-01,14930,-99
2007-01-01,14990,3
2007-01-01,16112,-99
2007-01-01,16150,-99
2007-01-01,16190,-99
2007-01-01,16292,-99
2007-01-01,17010,-99
2007-01-01,17020,-99
2007-01-01,21030,-99
2007-01-01,22010,5
2007-01-01,22020,9
2007-01-01,24010,-99
2007-01-01,24020,-99
2007-01-01,31110,13
2007-01-01,31120,30
2007-01-01,31130,-99
2007-01-01,31200,-99
2007-01-01,31300,-99
2007-01-01,32000,-99
2007-01-01,51000,-99
2007-01-01,61000,16
2007-01-01,62000,3
2007-01-01,71000,-99
2007-01-01,72910,-99
2007-01-01,72990,4
2007-01-01,81100,3
2007-01-01,81200,6
2007-01-01,81300,-99
2007-01-01,81400,5
2007-01-01,89120,5
2007-01-01,89300,4
2007-01-01,89900,14
2007-01-01,91000,25
2007-01-01,99000,-99
2007-01-01,101011,28
2007-01-01,101012,24
2007-01-01,101020,12
2007-01-01,101030,7
2007-01-01,101040,9
2007-01-01,101091,9
2007-01-01,101099,9
2007-01-01,102001,52
2007-01-01,102002,6
2007-01-01,102003,3
2007-01-01,103011,28
2007-01-01,103012,3
2007-01-01,103020,27
2007-01-01,103030,7
2007-01-01,103091,9
2007-01-01,103099,24
2007-01-01,104011,12
2007-01-01,104012,8
2007-01-01,104013,11
2007-01-01,105010,13
2007-01-01,105020,10
2007-01-01,105030,3
2007-01-01,105090,9
2007-01-01,106110,31
2007-01-01,106120,10
2007-01-01,106131,5
2007-01-01,106139,5
2007-01-01,106200,-99
2007-01-01,107110,19
2007-01-01,107121,7
2007-01-01,107129,-99
2007-01-01,107200,8
2007-01-01,107301,9
2007-01-01,107309,16
2007-01-01,107410,4
2007-01-01,107420,3
2007-01-01,107500,-99
2007-01-01,107911,6
2007-01-01,107912,7
2007-01-01,107920,13
2007-01-01,107930,18
2007-01-01,107991,8
2007-01-01,107992,-99
2007-01-01,107999,62
2007-01-01,108000,16
2007-01-01,109000,5
2007-01-01,110100,5
2007-01-01,110211,-99
2007-01-01,110212,108
2007-01-01,110300,4
2007-01-01,110411,-99
2007-01-01,110420,3
2007-01-01,110492,5
2007-01-01,120010,7
2007-01-01,120091,4
2007-01-01,120099,-99
2007-01-01,131110,6
2007-01-01,131120,5
2007-01-01,131131,3
2007-01-01,131132,5
2007-01-01,131139,12
2007-01-01,131202,5
2007-01-01,131209,23
2007-01-01,131300,7
2007-01-01,139100,6
2007-01-01,139201,-99
2007-01-01,139202,-99
2007-01-01,139203,5
2007-01-01,139204,-99
2007-01-01,139209,18
2007-01-01,139300,4
2007-01-01,139400,-99
2007-01-01,139900,46
2007-01-01,141110,12
2007-01-01,141120,9
2007-01-01,141130,6
2007-01-01,141191,4
2007-01-01,141199,42
2007-01-01,141201,3
2007-01-01,141202,8
2007-01-01,142000,6
2007-01-01,143010,7
2007-01-01,143020,4
2007-01-01,151100,49
2007-01-01,151200,20
2007-01-01,152011,22
2007-01-01,152021,8
2007-01-01,152031,-99
2007-01-01,152040,12
2007-01-01,161001,8
2007-01-01,161002,22
2007-01-01,162100,9
2007-01-01,162201,8
2007-01-01,162902,-99
2007-01-01,162903,3
2007-01-01,162909,14
2007-01-01,170101,-99
2007-01-01,170102,23
2007-01-01,170201,12
2007-01-01,170202,16
2007-01-01,170910,14
2007-01-01,170990,31
2007-01-01,181101,8
2007-01-01,181109,31
2007-01-01,181200,7
2007-01-01,182000,-99
2007-01-01,191000,3
2007-01-01,192000,17
2007-01-01,201110,6
2007-01-01,201120,6
2007-01-01,201130,11
2007-01-01,201140,-99
2007-01-01,201180,11
2007-01-01,201190,15
2007-01-01,201210,-99
2007-01-01,201220,-99
2007-01-01,201300,-99
2007-01-01,201401,16
2007-01-01,201409,7
2007-01-01,202101,16
2007-01-01,202200,35
2007-01-01,202311,8
2007-01-01,202312,4
2007-01-01,202320,50
2007-01-01,202906,3
2007-01-01,202907,13
2007-01-01,202908,139
2007-01-01,203000,-99
2007-01-01,210010,82
2007-01-01,210020,33
2007-01-01,210030,7
2007-01-01,210090,14
2007-01-01,221110,3
2007-01-01,221120,-99
2007-01-01,221901,15
2007-01-01,221909,33
2007-01-01,222010,80
2007-01-01,222090,192
2007-01-01,231010,5
2007-01-01,231020,4
2007-01-01,231090,16
2007-01-01,239100,4
2007-01-01,239201,-99
2007-01-01,239202,8
2007-01-01,239209,-99
2007-01-01,239310,-99
2007-01-01,239391,-99
2007-01-01,239399,3
2007-01-01,239410,4
2007-01-01,239421,-99
2007-01-01,239422,7
2007-01-01,239510,3
2007-01-01,239592,3
2007-01-01,239593,4
2007-01-01,239600,7
2007-01-01,239900,26
2007-01-01,241001,3
2007-01-01,241009,40
2007-01-01,242010,3
2007-01-01,242090,6
