fecha,letra,empresas
2007-01-01,A,336
2007-01-01,B,99
2007-01-01,C,3651
2007-01-01,D,3
2007-01-01,E,8
2007-01-01,F,39
2007-01-01,G,1103
2007-01-01,H,120
2007-01-01,I,8
2007-01-01,J,152
2007-01-01,K,4
2007-01-01,L,51
2007-01-01,M,106
2007-01-01,N,61
2007-01-01,O,-99
2007-01-01,P,-99
2007-01-01,Q,3
2007-01-01,R,7
2007-01-01,S,43
2007-01-01,Z,89
2007-02-01,A,348
2007-02-01,B,88
2007-02-01,C,3540
2007-02-01,D,6
2007-02-01,E,8
2007-02-01,F,36
2007-02-01,G,1059
2007-02-01,H,111
2007-02-01,I,10
2007-02-01,J,123
2007-02-01,K,5
2007-02-01,L,44
2007-02-01,M,109
2007-02-01,N,63
2007-02-01,P,5
2007-02-01,Q,5
2007-02-01,R,9
2007-02-01,S,33
2007-02-01,Z,85
2007-03-01,A,381
2007-03-01,B,97
2007-03-01,C,3830
2007-03-01,D,3
2007-03-01,E,9
2007-03-01,F,41
2007-03-01,G,1141
2007-03-01,H,121
2007-03-01,I,7
2007-03-01,J,152
2007-03-01,K,5
2007-03-01,L,52
2007-03-01,M,120
2007-03-01,N,64
2007-03-01,P,3
2007-03-01,Q,3
2007-03-01,R,11
2007-03-01,S,45
2007-03-01,Z,87
2007-04-01,A,371
2007-04-01,B,81
2007-04-01,C,3620
2007-04-01,D,7
2007-04-01,E,10
2007-04-01,F,35
2007-04-01,G,1051
2007-04-01,H,100
2007-04-01,I,9
2007-04-01,J,131
2007-04-01,K,5
2007-04-01,L,47
2007-04-01,M,116
2007-04-01,N,60
2007-04-01,O,-99
2007-04-01,P,3
2007-04-01,Q,5
2007-04-01,R,9
2007-04-01,S,38
2007-04-01,Z,63
2007-05-01,A,399
2007-05-01,B,94
2007-05-01,C,3841
2007-05-01,D,4
2007-05-01,E,11
2007-05-01,F,43
2007-05-01,G,1139
2007-05-01,H,140
2007-05-01,I,5
2007-05-01,J,132
2007-05-01,K,9
2007-05-01,L,50
2007-05-01,M,122
2007-05-01,N,62
2007-05-01,O,-99
2007-05-01,P,4
2007-05-01,Q,5
2007-05-01,R,13
2007-05-01,S,39
2007-05-01,Z,71
2007-06-01,A,359
2007-06-01,B,95
2007-06-01,C,3719
2007-06-01,D,4
2007-06-01,E,11
2007-06-01,F,54
2007-06-01,G,1141
2007-06-01,H,124
2007-06-01,I,7
2007-06-01,J,153
2007-06-01,K,8
2007-06-01,L,47
2007-06-01,M,119
2007-06-01,N,65
2007-06-01,O,3
2007-06-01,P,4
2007-06-01,Q,6
2007-06-01,R,11
2007-06-01,S,37
2007-06-01,Z,79
2007-07-01,A,344
2007-07-01,B,93
2007-07-01,C,3839
2007-07-01,D,4
2007-07-01,E,10
2007-07-01,F,42
2007-07-01,G,1156
2007-07-01,H,118
2007-07-01,I,8
2007-07-01,J,153
2007-07-01,K,10
2007-07-01,L,52
2007-07-01,M,112
2007-07-01,N,56
2007-07-01,O,-99
2007-07-01,P,5
2007-07-01,Q,5
2007-07-01,R,11
2007-07-01,S,39
2007-07-01,Z,68
2007-08-01,A,362
2007-08-01,B,104
2007-08-01,C,3910
2007-08-01,D,6
2007-08-01,E,6
2007-08-01,F,42
2007-08-01,G,1135
2007-08-01,H,130
2007-08-01,I,9
2007-08-01,J,158
2007-08-01,K,11
2007-08-01,L,50
2007-08-01,M,99
2007-08-01,N,59
2007-08-01,O,-99
2007-08-01,P,5
2007-08-01,Q,5
2007-08-01,R,11
2007-08-01,S,35
2007-08-01,Z,69
2007-09-01,A,335
2007-09-01,B,95
2007-09-01,C,4019
2007-09-01,D,9
2007-09-01,E,8
2007-09-01,F,44
2007-09-01,G,1160
2007-09-01,H,114
2007-09-01,I,11
2007-09-01,J,143
2007-09-01,K,6
2007-09-01,L,54
2007-09-01,M,132
2007-09-01,N,63
2007-09-01,O,-99
2007-09-01,P,6
2007-09-01,Q,5
2007-09-01,R,9
2007-09-01,S,39
2007-09-01,Z,72
2007-10-01,A,341
2007-10-01,B,92
2007-10-01,C,4012
2007-10-01,D,7
2007-10-01,E,7
2007-10-01,F,45
2007-10-01,G,1216
2007-10-01,H,136
2007-10-01,I,10
2007-10-01,J,147
2007-10-01,K,6
2007-10-01,L,59
2007-10-01,M,123
2007-10-01,N,66
2007-10-01,O,-99
2007-10-01,P,4
2007-10-01,Q,4
2007-10-01,R,12
2007-10-01,S,42
2007-10-01,Z,75
2007-11-01,A,359
2007-11-01,B,99
2007-11-01,C,4095
2007-11-01,D,7
2007-11-01,E,8
2007-11-01,F,47
2007-11-01,G,1241
2007-11-01,H,142
2007-11-01,I,9
2007-11-01,J,153
2007-11-01,K,6
2007-11-01,L,60
2007-11-01,M,127
2007-11-01,N,78
2007-11-01,O,-99
2007-11-01,P,5
2007-11-01,Q,4
2007-11-01,R,9
2007-11-01,S,40
2007-11-01,Z,77
2007-12-01,A,364
2007-12-01,B,96
2007-12-01,C,4022
2007-12-01,D,5
2007-12-01,E,9
2007-12-01,F,49
2007-12-01,G,1227
2007-12-01,H,137
