fecha,empresas
2007-01-01,5887
2007-02-01,5687
2007-03-01,6172
2007-04-01,5762
2007-05-01,6184
2007-06-01,6046
2007-07-01,6126
2007-08-01,6207
2007-09-01,6325
2007-10-01,6405
2007-11-01,6567
2007-12-01,6447
2008-01-01,5848
2008-02-01,5923
2008-03-01,5852
2008-04-01,6273
2008-05-01,6311
2008-06-01,5991
2008-07-01,6360
2008-08-01,6210
2008-09-01,6268
2008-10-01,6294
2008-11-01,6153
2008-12-01,5811
2009-01-01,5235
2009-02-01,5283
2009-03-01,5586
2009-04-01,5547
2009-05-01,5710
2009-06-01,5652
2009-07-01,5725
2009-08-01,5616
2009-09-01,5836
2009-10-01,5998
2009-11-01,6015
2009-12-01,5917
2010-01-01,5441
2010-02-01,5434
2010-03-01,5799
2010-04-01,5862
2010-05-01,5881
2010-06-01,5949
2010-07-01,5732
2010-08-01,5669
2010-09-01,5819
2010-10-01,5833
2010-11-01,5915
2010-12-01,5986
2011-01-01,5598
2011-02-01,5366
2011-03-01,5429
2011-04-01,5722
2011-05-01,5925
2011-06-01,5645
2011-07-01,5695
2011-08-01,5636
2011-09-01,5858
2011-10-01,5757
2011-11-01,5821
2011-12-01,5767
2012-01-01,5303
2012-02-01,5013
2012-03-01,5615
2012-04-01,5264
2012-05-01,5351
2012-06-01,5375
2012-07-01,5422
2012-08-01,5354
2012-09-01,5292
2012-10-01,5459
2012-11-01,5472
2012-12-01,5422
2013-01-01,4870
2013-02-01,4511
2013-03-01,5201
2013-04-01,5083
2013-05-01,5244
2013-06-01,5017
2013-07-01,5082
2013-08-01,5070
2013-09-01,5063
2013-10-01,4984
2013-11-01,4924
2013-12-01,4835
2014-01-01,4355
2014-02-01,4224
2014-03-01,4513
2014-04-01,4495
2014-05-01,4766
2014-06-01,4485
2014-07-01,4520
2014-08-01,4671
2014-09-01,4586
2014-10-01,4707
2014-11-01,4565
2014-12-01,4525
2015-01-01,4076
2015-02-01,3948
2015-03-01,4301
2015-04-01,4136
2015-05-01,4389
2015-06-01,4283
2015-07-01,4243
2015-08-01,4129
2015-09-01,4250
2015-10-01,4149
2015-11-01,4131
2015-12-01,3957
2016-01-01,3698
2016-02-01,3784
2016-03-01,4051
2016-04-01,4315
2016-05-01,4259
2016-06-01,4086
2016-07-01,4191
2016-08-01,4196
2016-09-01,4282
2016-10-01,4180
2016-11-01,4250
2016-12-01,4282
2017-01-01,3846
2017-02-01,3826
2017-03-01,4038
2017-04-01,4017
2017-05-01,4133
2017-06-01,4041
2017-07-01,4164
2017-08-01,4133
2017-09-01,4234
2017-10-01,4054
2017-11-01,4248
2017-12-01,4217
2018-01-01,3816
2018-02-01,3679
2018-03-01,4127
2018-04-01,4023
2018-05-01,4027
2018-06-01,4005
2018-07-01,4229
2018-08-01,4231
2018-09-01,3960
2018-10-01,4156
2018-11-01,4086
2018-12-01,4181
2019-01-01,3704
2019-02-01,3806
2019-03-01,4009
2019-04-01,3971
2019-05-01,4134
2019-06-01,4013
2019-07-01,4143
2019-08-01,4183
2019-09-01,4143
2019-10-01,4202
2019-11-01,4130
2019-12-01,4139
2020-01-01,3672
2020-02-01,3825
2020-03-01,3579
2020-04-01,2752
2020-05-01,3469
2020-06-01,3557
2020-07-01,3766
2020-08-01,3982
2020-09-01,3876
2020-10-01,4090
2020-11-01,4091
2020-12-01,3960
2021-01-01,3670
2021-02-01,3767
2021-03-01,4138
2021-04-01,3962
2021-05-01,4134
2021-06-01,4110
2021-07-01,4216
2021-08-01,4085
