fecha,empresas
2007-01-01,9394
2007-02-01,8776
2007-03-01,9453
2007-04-01,8664
2007-05-01,9409
2007-06-01,9436
2007-07-01,9873
2007-08-01,10142
2007-09-01,9537
2007-10-01,10262
2007-11-01,10369
2007-12-01,9731
2008-01-01,9947
2008-02-01,9454
2008-03-01,9281
2008-04-01,10020
2008-05-01,9981
2008-06-01,9658
2008-07-01,10182
2008-08-01,9809
2008-09-01,10108
2008-10-01,10316
2008-11-01,9943
2008-12-01,9642
2009-01-01,8972
2009-02-01,8152
2009-03-01,8802
2009-04-01,8695
2009-05-01,8745
2009-06-01,9144
2009-07-01,9320
2009-08-01,8805
2009-09-01,9539
2009-10-01,9348
2009-11-01,9392
2009-12-01,9464
2010-01-01,8930
2010-02-01,8535
2010-03-01,9488
2010-04-01,9242
2010-05-01,9311
2010-06-01,9827
2010-07-01,9908
2010-08-01,9916
2010-09-01,10179
2010-10-01,9764
2010-11-01,10569
2010-12-01,10418
2011-01-01,9998
2011-02-01,9469
2011-03-01,9845
2011-04-01,9543
2011-05-01,9982
2011-06-01,9961
2011-07-01,9939
2011-08-01,10283
2011-09-01,10345
2011-10-01,10272
2011-11-01,10255
2011-12-01,10361
2012-01-01,10056
2012-02-01,8610
2012-03-01,8262
2012-04-01,7149
2012-05-01,8335
2012-06-01,8292
2012-07-01,8851
2012-08-01,9193
2012-09-01,8789
2012-10-01,9398
2012-11-01,9064
2012-12-01,8889
2013-01-01,8891
2013-02-01,8315
2013-03-01,8515
2013-04-01,8170
2013-05-01,8372
2013-06-01,8018
2013-07-01,8583
2013-08-01,8472
2013-09-01,8481
2013-10-01,9110
2013-11-01,8629
2013-12-01,8436
2014-01-01,8798
2014-02-01,7986
2014-03-01,7922
2014-04-01,8257
2014-05-01,8304
2014-06-01,8124
2014-07-01,8672
2014-08-01,8167
2014-09-01,8414
2014-10-01,8631
2014-11-01,7878
2014-12-01,8147
2015-01-01,8080
2015-02-01,7386
2015-03-01,8031
2015-04-01,8115
2015-05-01,7927
2015-06-01,8707
2015-07-01,8930
2015-08-01,8788
2015-09-01,8777
2015-10-01,8792
2015-11-01,8469
2015-12-01,8614
2016-01-01,8137
2016-02-01,8028
2016-03-01,8829
2016-04-01,8497
2016-05-01,9039
2016-06-01,8935
2016-07-01,8782
2016-08-01,9534
2016-09-01,9463
2016-10-01,9374
2016-11-01,9460
2016-12-01,10090
2017-01-01,9524
2017-02-01,8636
2017-03-01,9771
2017-04-01,9031
2017-05-01,9896
2017-06-01,9862
2017-07-01,10082
2017-08-01,10740
2017-09-01,10500
2017-10-01,10749
2017-11-01,10707
2017-12-01,10665
2018-01-01,10703
2018-02-01,9746
2018-03-01,10072
2018-04-01,10095
2018-05-01,10438
2018-06-01,9624
2018-07-01,10437
2018-08-01,10239
2018-09-01,9103
2018-10-01,9803
2018-11-01,9107
2018-12-01,9019
2019-01-01,9043
2019-02-01,8399
2019-03-01,8898
2019-04-01,8451
2019-05-01,9273
2019-06-01,8919
2019-07-01,9692
2019-08-01,9647
2019-09-01,9254
2019-10-01,9893
2019-11-01,8812
2019-12-01,9189
2020-01-01,9031
2020-02-01,7966
2020-03-01,7649
2020-04-01,6337
2020-05-01,7392
2020-06-01,7585
2020-07-01,8333
2020-08-01,8689
2020-09-01,9527
2020-10-01,9582
2020-11-01,9806
2020-12-01,10292
2021-01-01,9675
2021-02-01,9105
2021-03-01,9829
2021-04-01,8892
2021-05-01,8831
2021-06-01,9700
2021-07-01,9375
2021-08-01,9224
2021-09-01,9835
2021-10-01,9643
2021-11-01,9862
2021-12-01,10751
2022-01-01,10284
2022-02-01,9722
2022-03-01,10765
2022-04-01,9521
2022-05-01,9786
2022-06-01,9860
2022-07-01,9787
2022-08-01,10166
2022-09-01,9766
2022-10-01,9261
2022-11-01,9577
2022-12-01,8692
2023-01-01,8357
2023-02-01,7644
2023-03-01,8729
2023-04-01,8008
2023-05-01,9367
2023-06-01,9088
2023-07-01,9224
2023-08-01,9738
2023-09-01,8964
2023-10-01,9059
2023-11-01,8508
