fecha,letra,empresas
2007-01-01,A,200
2007-01-01,B,113
2007-01-01,C,3945
2007-01-01,D,30
2007-01-01,E,13
2007-01-01,F,155
2007-01-01,G,3850
2007-01-01,H,202
2007-01-01,I,22
2007-01-01,J,247
2007-01-01,K,30
2007-01-01,L,80
2007-01-01,M,236
2007-01-01,N,117
2007-01-01,P,9
2007-01-01,Q,30
2007-01-01,R,29
2007-01-01,S,62
2007-01-01,Z,42
2007-02-01,A,179
2007-02-01,B,96
2007-02-01,C,3698
2007-02-01,D,27
2007-02-01,E,18
2007-02-01,F,133
2007-02-01,G,3623
2007-02-01,H,156
2007-02-01,I,22
2007-02-01,J,222
2007-02-01,K,25
2007-02-01,L,76
2007-02-01,M,210
2007-02-01,N,122
2007-02-01,P,8
2007-02-01,Q,25
2007-02-01,R,27
2007-02-01,S,71
2007-02-01,Z,55
2007-03-01,A,168
2007-03-01,B,102
2007-03-01,C,4009
2007-03-01,D,29
2007-03-01,E,10
2007-03-01,F,154
2007-03-01,G,3904
2007-03-01,H,191
2007-03-01,I,22
2007-03-01,J,242
2007-03-01,K,29
2007-03-01,L,79
2007-03-01,M,225
2007-03-01,N,125
2007-03-01,P,9
2007-03-01,Q,25
2007-03-01,R,29
2007-03-01,S,76
2007-03-01,Z,44
2007-04-01,A,139
2007-04-01,B,97
2007-04-01,C,3732
2007-04-01,D,24
2007-04-01,E,11
2007-04-01,F,138
2007-04-01,G,3543
2007-04-01,H,191
2007-04-01,I,14
2007-04-01,J,227
2007-04-01,K,31
2007-04-01,L,58
2007-04-01,M,201
2007-04-01,N,104
2007-04-01,P,10
2007-04-01,Q,40
2007-04-01,R,23
2007-04-01,S,57
2007-04-01,Z,38
2007-05-01,A,142
2007-05-01,B,115
2007-05-01,C,3950
2007-05-01,D,23
2007-05-01,E,16
2007-05-01,F,151
2007-05-01,G,3905
2007-05-01,H,205
2007-05-01,I,17
2007-05-01,J,236
2007-05-01,K,25
2007-05-01,L,76
2007-05-01,M,251
2007-05-01,N,132
2007-05-01,P,6
2007-05-01,Q,34
2007-05-01,R,24
2007-05-01,S,74
2007-05-01,Z,43
2007-06-01,A,147
2007-06-01,B,108
2007-06-01,C,4002
2007-06-01,D,26
2007-06-01,E,11
2007-06-01,F,156
2007-06-01,G,3942
2007-06-01,H,183
2007-06-01,I,14
2007-06-01,J,239
2007-06-01,K,20
2007-06-01,L,82
2007-06-01,M,224
2007-06-01,N,114
2007-06-01,P,9
2007-06-01,Q,29
2007-06-01,R,37
2007-06-01,S,61
2007-06-01,Z,47
2007-07-01,A,161
2007-07-01,B,109
