fecha,empresas
2007-01-01,9412
2007-02-01,8793
2007-03-01,9472
2007-04-01,8678
2007-05-01,9425
2007-06-01,9451
2007-07-01,9890
2007-08-01,10163
2007-09-01,9554
2007-10-01,10280
2007-11-01,10393
2007-12-01,9750
2008-01-01,9968
2008-02-01,9475
2008-03-01,9297
2008-04-01,10040
2008-05-01,9997
2008-06-01,9671
2008-07-01,10200
2008-08-01,9831
2008-09-01,10129
2008-10-01,10339
2008-11-01,9960
2008-12-01,9659
2009-01-01,8992
2009-02-01,8171
2009-03-01,8824
2009-04-01,8713
2009-05-01,8769
2009-06-01,9163
2009-07-01,9337
2009-08-01,8825
2009-09-01,9559
2009-10-01,9370
2009-11-01,9412
2009-12-01,9486
2010-01-01,8951
2010-02-01,8553
2010-03-01,9507
2010-04-01,9265
2010-05-01,9333
2010-06-01,9849
2010-07-01,9930
2010-08-01,9936
2010-09-01,10198
2010-10-01,9786
2010-11-01,10593
2010-12-01,10440
2011-01-01,10017
2011-02-01,9491
2011-03-01,9865
2011-04-01,9562
2011-05-01,10006
2011-06-01,9983
2011-07-01,9960
2011-08-01,10305
2011-09-01,10368
2011-10-01,10295
2011-11-01,10277
2011-12-01,10380
2012-01-01,10080
2012-02-01,8629
2012-03-01,8283
2012-04-01,7170
2012-05-01,8353
2012-06-01,8312
2012-07-01,8870
2012-08-01,9214
2012-09-01,8807
2012-10-01,9421
2012-11-01,9086
2012-12-01,8912
2013-01-01,8914
2013-02-01,8336
2013-03-01,8537
2013-04-01,8192
2013-05-01,8391
2013-06-01,8036
2013-07-01,8603
2013-08-01,8491
2013-09-01,8499
2013-10-01,9134
2013-11-01,8652
2013-12-01,8457
2014-01-01,8815
2014-02-01,8010
2014-03-01,7943
2014-04-01,8281
2014-05-01,8327
2014-06-01,8145
2014-07-01,8694
2014-08-01,8187
2014-09-01,8438
2014-10-01,8658
2014-11-01,7901
2014-12-01,8172
2015-01-01,8105
2015-02-01,7409
2015-03-01,8053
2015-04-01,8138
2015-05-01,7952
2015-06-01,8728
2015-07-01,8956
2015-08-01,8812
2015-09-01,8799
2015-10-01,8814
2015-11-01,8493
2015-12-01,8636
2016-01-01,8159
2016-02-01,8048
2016-03-01,8851
2016-04-01,8521
2016-05-01,9062
2016-06-01,8956
2016-07-01,8808
2016-08-01,9560
2016-09-01,9486
2016-10-01,9399
2016-11-01,9486
2016-12-01,10117
2017-01-01,9547
2017-02-01,8658
2017-03-01,9799
2017-04-01,9055
2017-05-01,9922
2017-06-01,9886
2017-07-01,10106
2017-08-01,10765
2017-09-01,10524
2017-10-01,10772
2017-11-01,10733
2017-12-01,10691
2018-01-01,10726
2018-02-01,9771
2018-03-01,10098
2018-04-01,10115
2018-05-01,10460
2018-06-01,9646
2018-07-01,10458
2018-08-01,10259
2018-09-01,9127
2018-10-01,9824
2018-11-01,9130
2018-12-01,9040
2019-01-01,9061
2019-02-01,8422
2019-03-01,8920
2019-04-01,8474
2019-05-01,9294
2019-06-01,8944
2019-07-01,9715
2019-08-01,9667
2019-09-01,9273
2019-10-01,9915
2019-11-01,8830
2019-12-01,9208
2020-01-01,9051
2020-02-01,7985
2020-03-01,7660
2020-04-01,6351
2020-05-01,7411
2020-06-01,7601
2020-07-01,8351
2020-08-01,8706
2020-09-01,9543
2020-10-01,9604
2020-11-01,9823
2020-12-01,10313
2021-01-01,9692
2021-02-01,9123
2021-03-01,9847
2021-04-01,8912
2021-05-01,8848
2021-06-01,9720
2021-07-01,9391
2021-08-01,9242
2021-09-01,9855
2021-10-01,9665
2021-11-01,9884
2021-12-01,10768
2022-01-01,10303
2022-02-01,9738
2022-03-01,10787
2022-04-01,9539
2022-05-01,9805
2022-06-01,9881
2022-07-01,9808
2022-08-01,10187
2022-09-01,9784
2022-10-01,9279
2022-11-01,9596
2022-12-01,8713
2023-01-01,8379
2023-02-01,7662
2023-03-01,8752
2023-04-01,8028
2023-05-01,9385
2023-06-01,9110
2023-07-01,9245
2023-08-01,9757
2023-09-01,8983
2023-10-01,9080
2023-11-01,8524
