fecha,letra,total_fob
2007-01-01,A,108205424
2007-01-01,B,377633536
2007-01-01,C,2251349248
2007-01-01,D,6079237
2007-01-01,E,1773845
2007-01-01,F,18581408
2007-01-01,G,327659264
2007-01-01,H,22909572
2007-01-01,I,46861
2007-01-01,J,9805604
2007-01-01,K,-99
2007-01-01,L,7352132
2007-01-01,M,4674909
2007-01-01,N,10309117
2007-01-01,P,-99
2007-01-01,Q,597748
2007-01-01,R,181346
2007-01-01,S,1397425
2007-01-01,Z,596685
2007-02-01,A,135181472
2007-02-01,B,396557600
2007-02-01,C,2456186368
2007-02-01,D,10005759
2007-02-01,E,1354943
2007-02-01,F,2008565
2007-02-01,G,311829056
2007-02-01,H,26382868
2007-02-01,I,93100
2007-02-01,J,4708801
2007-02-01,K,-99
2007-02-01,L,6819536
2007-02-01,M,3156133
2007-02-01,N,8413187
2007-02-01,P,7601
2007-02-01,Q,473967
2007-02-01,R,95290
2007-02-01,S,1515337
2007-02-01,Z,766192
2007-03-01,A,145434736
2007-03-01,B,421105888
2007-03-01,C,2862636544
2007-03-01,D,9532957
2007-03-01,E,1137758
2007-03-01,F,2998961
2007-03-01,G,412187456
2007-03-01,H,29074306
2007-03-01,I,289284
2007-03-01,J,6529625
2007-03-01,K,-99
2007-03-01,L,7574507
2007-03-01,M,3841930
2007-03-01,N,12845740
2007-03-01,P,-99
2007-03-01,Q,640532
2007-03-01,R,137181
2007-03-01,S,2780165
2007-03-01,Z,1178663
2007-04-01,A,159733808
2007-04-01,B,295854304
2007-04-01,C,2955155968
2007-04-01,D,6647033
2007-04-01,E,1516758
2007-04-01,F,14978514
2007-04-01,G,528165728
2007-04-01,H,32020796
2007-04-01,I,255294
2007-04-01,J,5505164
2007-04-01,K,272397
2007-04-01,L,12287360
2007-04-01,M,5827397
2007-04-01,N,10463723
2007-04-01,P,27448
2007-04-01,Q,297477
2007-04-01,R,158602
2007-04-01,S,2727148
2007-04-01,Z,1231220
2007-05-01,A,144336304
2007-05-01,B,365485184
2007-05-01,C,3402193920
2007-05-01,D,6400006
2007-05-01,E,1285935
2007-05-01,F,3263021
2007-05-01,G,595448384
2007-05-01,H,27766128
2007-05-01,I,198274
2007-05-01,J,7571681
2007-05-01,K,471524
