fecha,clae6,total_fob
2007-01-01,11111,2832129
2007-01-01,11112,-99
2007-01-01,11119,2203824
2007-01-01,11121,184148
2007-01-01,11129,-99
2007-01-01,11211,3244455
2007-01-01,11299,518410
2007-01-01,11329,3515420
2007-01-01,11331,3905656
2007-01-01,11341,-99
2007-01-01,11342,-99
2007-01-01,11400,-99
2007-01-01,11911,-99
2007-01-01,12110,5472611
2007-01-01,12121,1369242
2007-01-01,12200,-99
2007-01-01,12311,6993045
2007-01-01,12319,-99
2007-01-01,12320,3923486
2007-01-01,12490,17208084
2007-01-01,12510,-99
2007-01-01,12600,-99
2007-01-01,12709,-99
2007-01-01,12800,-99
2007-01-01,12900,-99
2007-01-01,13011,790759
2007-01-01,13012,-99
2007-01-01,13019,4626351
2007-01-01,13020,-99
2007-01-01,14113,2842440
2007-01-01,14221,326799
2007-01-01,14410,809860
2007-01-01,14610,-99
2007-01-01,14720,-99
2007-01-01,14810,-99
2007-01-01,14820,-99
2007-01-01,14910,211346
2007-01-01,14930,-99
2007-01-01,14990,139035
2007-01-01,16112,-99
2007-01-01,16150,-99
2007-01-01,16190,-99
2007-01-01,16292,-99
2007-01-01,17010,-99
2007-01-01,17020,-99
2007-01-01,21030,-99
2007-01-01,22010,288798
2007-01-01,22020,413494
2007-01-01,24010,-99
2007-01-01,24020,-99
2007-01-01,31110,13098987
2007-01-01,31120,21829728
2007-01-01,31130,-99
2007-01-01,31200,-99
2007-01-01,31300,-99
2007-01-01,32000,-99
2007-01-01,51000,-99
2007-01-01,61000,352339296
2007-01-01,62000,19382190
2007-01-01,71000,-99
2007-01-01,72910,-99
2007-01-01,72990,155821536
2007-01-01,81100,48315
2007-01-01,81200,751847
2007-01-01,81300,-99
2007-01-01,81400,370078
2007-01-01,89120,1954838
2007-01-01,89300,201334
2007-01-01,89900,5354599
2007-01-01,91000,3412203
2007-01-01,99000,-99
2007-01-01,101011,37213176
2007-01-01,101012,26754576
2007-01-01,101020,10132370
2007-01-01,101030,2354191
2007-01-01,101040,7560315
2007-01-01,101091,3097149
2007-01-01,101099,2325813
2007-01-01,102001,29989832
2007-01-01,102002,454372
2007-01-01,102003,1007508
2007-01-01,103011,4177928
2007-01-01,103012,259935
2007-01-01,103020,19258292
2007-01-01,103030,8792114
2007-01-01,103091,2984753
2007-01-01,103099,5351734
2007-01-01,104011,515361184
2007-01-01,104012,1004810
2007-01-01,104013,206868256
2007-01-01,105010,40038648
2007-01-01,105020,26508892
2007-01-01,105030,48182
2007-01-01,105090,9271816
2007-01-01,106110,15195596
2007-01-01,106120,4451503
2007-01-01,106131,917788
2007-01-01,106139,841230
