fecha,total_fob
2007-01-01,3355731968
2007-02-01,3543763456
2007-03-01,4096984576
2007-04-01,4186004480
2007-05-01,4758367232
2007-06-01,4485263360
2007-07-01,4613613056
2007-08-01,4847356928
2007-09-01,4723834880
2007-10-01,5477574656
2007-11-01,5295711232
2007-12-01,5603001344
2008-01-01,5665948160
2008-02-01,5053391872
2008-03-01,4831215104
2008-04-01,5700432896
2008-05-01,6111186432
2008-06-01,5071455744
2008-07-01,7014801408
2008-08-01,7260455424
2008-09-01,7103704064
2008-10-01,6127476736
2008-11-01,4899338240
2008-12-01,4132152832
2009-01-01,3604038912
2009-02-01,3864152320
2009-03-01,4139319296
2009-04-01,4925273088
2009-05-01,5062681600
2009-06-01,5056833024
2009-07-01,4794397184
2009-08-01,4237129472
2009-09-01,4446098432
2009-10-01,4701690880
2009-11-01,4784901632
2009-12-01,4655118336
2010-01-01,4317645824
2010-02-01,4095668224
2010-03-01,4577869824
2010-04-01,6390480384
2010-05-01,6376873984
2010-06-01,6255482368
2010-07-01,5884488704
2010-08-01,6364311040
2010-09-01,6321216512
2010-10-01,5901126656
2010-11-01,5730796544
2010-12-01,5256546816
2011-01-01,4998123008
2011-02-01,5263085568
2011-03-01,5850976256
2011-04-01,7106651648
2011-05-01,7890971136
2011-06-01,7750366720
2011-07-01,7062615552
2011-08-01,8123245056
2011-09-01,7812950528
2011-10-01,7259865600
2011-11-01,6226983936
2011-12-01,6237434368
2012-01-01,5173081088
2012-02-01,5891896320
2012-03-01,6014918144
2012-04-01,6641944576
2012-05-01,6850774016
2012-06-01,6806684160
2012-07-01,7388919296
2012-08-01,7180318720
2012-09-01,6776716800
2012-10-01,6754163200
2012-11-01,6477616128
2012-12-01,6165471232
2013-01-01,5195398656
2013-02-01,4768911872
2013-03-01,5992189952
2013-04-01,6793533952
2013-05-01,8386058240
2013-06-01,7482717696
2013-07-01,6788190720
2013-08-01,7021180928
2013-09-01,6553480704
2013-10-01,5923924480
2013-11-01,4920456192
2013-12-01,4913866240
2014-01-01,4069606400
2014-02-01,4242659072
2014-03-01,4725370368
2014-04-01,6316182016
2014-05-01,7025965568
2014-06-01,7025958400
2014-07-01,6247749120
2014-08-01,6445710848
2014-09-01,5584386560
2014-10-01,5730018816
2014-11-01,4836544512
2014-12-01,4422127616
2015-01-01,3714252800
2015-02-01,3775996416
2015-03-01,4311429120
2015-04-01,5086880256
2015-05-01,5139707904
2015-06-01,6122874880
2015-07-01,5531338752
2015-08-01,5325149696
2015-09-01,5121493504
2015-10-01,5022093312
2015-11-01,4232520192
2015-12-01,3424193792
2016-01-01,3839396096
2016-02-01,4074228992
2016-03-01,4352549888
2016-04-01,4701075456
2016-05-01,5305838592
2016-06-01,5294733312
2016-07-01,4945921536
2016-08-01,5765134336
2016-09-01,5028277248
2016-10-01,4664556544
2016-11-01,4922577408
2016-12-01,4715107840
2017-01-01,4336209920
2017-02-01,3870591488
2017-03-01,4569115136
2017-04-01,4788411392
2017-05-01,5457774592
2017-06-01,5110155264
2017-07-01,5270772736
2017-08-01,5235725824
2017-09-01,5223268864
2017-10-01,5300128768
2017-11-01,4594926592
2017-12-01,4495777280
2018-01-01,4654728192
2018-02-01,4226311424
2018-03-01,5362436096
2018-04-01,5232161280
2018-05-01,5032282624
2018-06-01,5114067456
2018-07-01,5344729600
2018-08-01,5079745536
2018-09-01,4947445248
2018-10-01,5592423424
2018-11-01,5341739008
2018-12-01,5323924480
2019-01-01,4536801792
2019-02-01,4350048256
2019-03-01,5037272064
2019-04-01,5455469568
2019-05-01,5962617344
2019-06-01,5266098176
2019-07-01,5767542272
2019-08-01,5432539648
2019-09-01,5656253952
2019-10-01,5791233024
2019-11-01,6119717888
2019-12-01,5355416576
2020-01-01,4488402944
2020-02-01,4208092160
2020-03-01,4297408512
2020-04-01,4221684224
2020-05-01,5191418880
2020-06-01,4735037440
2020-07-01,4908512768
2020-08-01,4905744896
2020-09-01,4679254016
2020-10-01,4550337536
2020-11-01,4666592256
2020-12-01,3441384448
2021-01-01,4962010624
2021-02-01,4708892160
2021-03-01,5838631936
2021-04-01,6216826880
2021-05-01,7165506048
2021-06-01,6942169088
2021-07-01,7143156224
2021-08-01,8026372096
2021-09-01,7600100352
2021-10-01,6890892800
2021-11-01,6194394112
2021-12-01,6748094464
2022-01-01,5408890880
2022-02-01,6332710400
2022-03-01,7111516672
2022-04-01,8216256512
2022-05-01,8188910080
2022-06-01,8332787200
2022-07-01,7710840320
2022-08-01,7648710656
2022-09-01,7464472064
2022-10-01,7827447296
2022-11-01,6932220928
2022-12-01,5952385536
2023-01-01,4787303424
2023-02-01,5105512960
2023-03-01,5597683200
2023-04-01,5727865856
2023-05-01,6176481792
2023-06-01,5304279552
2023-07-01,6003640832
2023-08-01,5904928256
2023-09-01,5686052864
2023-10-01,5279039488
2023-11-01,4880328704
