fecha,clae6,total_cif
2007-01-01,11111,-99
2007-01-01,11112,-99
2007-01-01,11119,1004717
2007-01-01,11129,-99
2007-01-01,11211,623326
2007-01-01,11299,-99
2007-01-01,11310,-99
2007-01-01,11321,-99
2007-01-01,11329,-99
2007-01-01,11331,-99
2007-01-01,11341,-99
2007-01-01,11400,-99
2007-01-01,11911,-99
2007-01-01,11912,-99
2007-01-01,12110,409354
2007-01-01,12121,-99
2007-01-01,12200,196283
2007-01-01,12311,740074
2007-01-01,12319,-99
2007-01-01,12320,32036
2007-01-01,12420,-99
2007-01-01,12490,803684
2007-01-01,12800,-99
2007-01-01,12900,-99
2007-01-01,13011,577407
2007-01-01,13012,679295
2007-01-01,13013,-99
2007-01-01,13019,292168
2007-01-01,13020,79336
2007-01-01,14113,617884
2007-01-01,14114,-99
2007-01-01,14211,-99
2007-01-01,14221,-99
2007-01-01,14410,44498
2007-01-01,14510,-99
2007-01-01,14610,-99
2007-01-01,14810,369525
2007-01-01,14820,523701
2007-01-01,14990,-99
2007-01-01,16112,-99
2007-01-01,16113,762801
2007-01-01,16120,-99
2007-01-01,16150,-99
2007-01-01,16190,-99
2007-01-01,16210,-99
2007-01-01,16291,-99
2007-01-01,16292,-99
2007-01-01,16299,-99
2007-01-01,21010,85795
2007-01-01,21030,4613
2007-01-01,24010,96311
2007-01-01,31110,568783
2007-01-01,31120,8686850
2007-01-01,31130,-99
2007-01-01,31200,-99
2007-01-01,31300,-99
2007-01-01,32000,-99
2007-01-01,61000,39810348
2007-01-01,62000,-99
2007-01-01,71000,-99
2007-01-01,72910,5335865
2007-01-01,72990,17894516
2007-01-01,81100,78001
2007-01-01,81200,-99
2007-01-01,81300,775105
2007-01-01,89120,-99
2007-01-01,89300,162406
2007-01-01,89900,1241554
2007-01-01,91000,37845984
2007-01-01,99000,854019
2007-01-01,101011,415722
2007-01-01,101012,671857
2007-01-01,101020,5866131
2007-01-01,101030,3993026
2007-01-01,101091,-99
2007-01-01,101099,-99
2007-01-01,102001,2082082
2007-01-01,102002,-99
2007-01-01,102003,-99
2007-01-01,103011,3026452
2007-01-01,103012,-99
2007-01-01,103020,1852712
2007-01-01,103030,1362198
2007-01-01,103091,252400
2007-01-01,103099,3408114
2007-01-01,104011,43584392
2007-01-01,104012,1618081
2007-01-01,104013,6168254
2007-01-01,105010,2629646
2007-01-01,105020,1524358
2007-01-01,105030,65974
2007-01-01,105090,4818736
2007-01-01,106110,124434
2007-01-01,106120,216056
2007-01-01,106131,280678
2007-01-01,106139,-99
2007-01-01,106200,-99
2007-01-01,107110,1149799
2007-01-01,107121,209976
