fecha,letra,total_cif
2007-01-01,A,22318334
2007-01-01,B,107912216
2007-01-01,C,1708182912
2007-01-01,D,8581490
2007-01-01,E,1826039
2007-01-01,F,17873204
2007-01-01,G,731499712
2007-01-01,H,41181240
2007-01-01,I,1904709
2007-01-01,J,133603016
2007-01-01,K,10164255
2007-01-01,L,8625382
2007-01-01,M,16142283
2007-01-01,N,30075040
2007-01-01,P,201882
2007-01-01,Q,2783557
2007-01-01,R,2694419
2007-01-01,S,4421953
2007-01-01,Z,1659760
2007-02-01,A,13164482
2007-02-01,B,83769760
2007-02-01,C,1657457408
2007-02-01,D,15839206
2007-02-01,E,948075
2007-02-01,F,20733572
2007-02-01,G,641592512
2007-02-01,H,25050852
2007-02-01,I,1031058
2007-02-01,J,156325024
2007-02-01,K,9417632
2007-02-01,L,7047307
2007-02-01,M,13667798
2007-02-01,N,26589452
2007-02-01,P,98933
2007-02-01,Q,2216276
2007-02-01,R,2083689
2007-02-01,S,3491497
2007-02-01,Z,5041175
2007-03-01,A,10960650
2007-03-01,B,88521752
2007-03-01,C,2016198656
2007-03-01,D,12647664
2007-03-01,E,1578054
2007-03-01,F,26468574
2007-03-01,G,813053120
2007-03-01,H,121445264
2007-03-01,I,1856373
2007-03-01,J,138848048
2007-03-01,K,34539560
2007-03-01,L,5276368
2007-03-01,M,16608642
2007-03-01,N,29475338
2007-03-01,P,121916
2007-03-01,Q,1829046
2007-03-01,R,1037571
2007-03-01,S,5953392
2007-03-01,Z,3370740
2007-04-01,A,11159845
2007-04-01,B,124934512
2007-04-01,C,1908354944
2007-04-01,D,19268202
2007-04-01,E,693710
2007-04-01,F,17865060
2007-04-01,G,761697984
2007-04-01,H,17521328
2007-04-01,I,1769781
2007-04-01,J,135707696
2007-04-01,K,10078970
2007-04-01,L,2709356
2007-04-01,M,8867208
2007-04-01,N,32203280
2007-04-01,P,311858
2007-04-01,Q,3179892
2007-04-01,R,1675564
2007-04-01,S,6299221
2007-04-01,Z,2295626
2007-05-01,A,10072987
2007-05-01,B,83886608
2007-05-01,C,2095944704
2007-05-01,D,16877508
2007-05-01,E,765703
2007-05-01,F,22627170
2007-05-01,G,864064960
2007-05-01,H,42758704
2007-05-01,I,1589297
2007-05-01,J,194245312
2007-05-01,K,7929729
2007-05-01,L,3677917
2007-05-01,M,16120141
2007-05-01,N,94820168
2007-05-01,P,59988
2007-05-01,Q,3372385
2007-05-01,R,504613
2007-05-01,S,8873972
2007-05-01,Z,3094290
2007-06-01,A,10322922
2007-06-01,B,114308840
2007-06-01,C,2011150080
2007-06-01,D,7065028
2007-06-01,E,692458
2007-06-01,F,18540508
2007-06-01,G,897180224
2007-06-01,H,20316660
2007-06-01,I,1433680
2007-06-01,J,157220816
2007-06-01,K,8852282
2007-06-01,L,4189755
2007-06-01,M,15170692
2007-06-01,N,237099584
2007-06-01,P,184206
2007-06-01,Q,2329314
2007-06-01,R,2074535
2007-06-01,S,7469100
2007-06-01,Z,2816895
2007-07-01,A,12835974
2007-07-01,B,125774440
2007-07-01,C,2316640512
2007-07-01,D,8904207
2007-07-01,E,5135192
2007-07-01,F,14402405
2007-07-01,G,995895168
2007-07-01,H,22104742
2007-07-01,I,2883942
2007-07-01,J,158313952
2007-07-01,K,10575939
2007-07-01,L,5516077
2007-07-01,M,14567233
2007-07-01,N,263845584
2007-07-01,P,131839
2007-07-01,Q,4503804
2007-07-01,R,2601057
2007-07-01,S,3286630
2007-07-01,Z,3957918
2007-08-01,A,17766832
2007-08-01,B,138842112
2007-08-01,C,2411545856
2007-08-01,D,34285380
2007-08-01,E,2199885
2007-08-01,F,20444344
2007-08-01,G,1032213696
2007-08-01,H,15355031
2007-08-01,I,2709964
2007-08-01,J,174692480
2007-08-01,K,18103742
2007-08-01,L,7333198
2007-08-01,M,24717114
2007-08-01,N,340127136
2007-08-01,P,206121
2007-08-01,Q,3366453
2007-08-01,R,4927089
2007-08-01,S,4096679
2007-08-01,Z,4211360
2007-09-01,A,21216948
2007-09-01,B,129186072
2007-09-01,C,2239288576
2007-09-01,D,16356147
2007-09-01,E,2838773
2007-09-01,F,17035594
2007-09-01,G,1010988224
2007-09-01,H,16218164
2007-09-01,I,1421071
2007-09-01,J,129019104
2007-09-01,K,36052672
2007-09-01,L,10675011
2007-09-01,M,13517389
2007-09-01,N,70906216
2007-09-01,P,292260
2007-09-01,Q,3999697
2007-09-01,R,1638596
2007-09-01,S,6911474
2007-09-01,Z,4253647
2007-10-01,A,15277747
2007-10-01,B,140065376
2007-10-01,C,2512269568
2007-10-01,D,56240344
2007-10-01,E,1353657
2007-10-01,F,21647734
2007-10-01,G,1120925696
2007-10-01,H,28667188
2007-10-01,I,2375834
2007-10-01,J,179177504
2007-10-01,K,26968168
2007-10-01,L,13044230
2007-10-01,M,35492680
2007-10-01,N,29258756
2007-10-01,P,50983
2007-10-01,Q,2716955
2007-10-01,R,4148630
2007-10-01,S,3635893
2007-10-01,Z,5158159
2007-11-01,A,19715134
2007-11-01,B,120276024
2007-11-01,C,2430723072
2007-11-01,D,64247268
2007-11-01,E,1969051
2007-11-01,F,21254300
2007-11-01,G,1112752128
2007-11-01,H,151078176
2007-11-01,I,2161134
2007-11-01,J,187824576
2007-11-01,K,31217344
2007-11-01,L,11026002
2007-11-01,M,18579266
2007-11-01,N,28917594
2007-11-01,P,60860
2007-11-01,Q,5404745
2007-11-01,R,3212730
2007-11-01,S,6562539
2007-11-01,Z,4418452
2007-12-01,A,15657299
2007-12-01,B,112573904
2007-12-01,C,2182319616
2007-12-01,D,18659308
2007-12-01,E,1476355
2007-12-01,F,28330260
2007-12-01,G,949646656
2007-12-01,H,125934872
2007-12-01,I,2218290
2007-12-01,J,179219056
2007-12-01,K,8088334
2007-12-01,L,8504000
2007-12-01,M,14209649
2007-12-01,N,18498092
2007-12-01,P,177677
2007-12-01,Q,1904940
2007-12-01,R,2737738
2007-12-01,S,6797625
2007-12-01,Z,4171386
2008-01-01,A,17617074
2008-01-01,B,115128464
2008-01-01,C,2546406400
2008-01-01,D,86358752
2008-01-01,E,427585
2008-01-01,F,25918848
2008-01-01,G,1170098944
2008-01-01,H,83540832
2008-01-01,I,1859762
2008-01-01,J,184080160
2008-01-01,K,32944178
2008-01-01,L,7703864
2008-01-01,M,12025466
2008-01-01,N,35688392
2008-01-01,P,320652
2008-01-01,Q,3860034
2008-01-01,R,4665361
2008-01-01,S,4482193
2008-01-01,Z,3230430
2008-02-01,A,14220849
2008-02-01,B,109601600
2008-02-01,C,2439454976
2008-02-01,D,49468788
2008-02-01,E,496919
2008-02-01,F,28023212
2008-02-01,G,981603968
2008-02-01,H,173929760
2008-02-01,I,2934676
2008-02-01,J,170501008
2008-02-01,K,9016566
2008-02-01,L,5154243
2008-02-01,M,8208257
2008-02-01,N,10896935
2008-02-01,P,284904
2008-02-01,Q,2084302
2008-02-01,R,3437666
2008-02-01,S,4742300
2008-02-01,Z,2426590
2008-03-01,A,14153894
2008-03-01,B,131547232
2008-03-01,C,2533491456
2008-03-01,D,58795152
2008-03-01,E,470736
2008-03-01,F,22960284
2008-03-01,G,959855360
2008-03-01,H,59312512
2008-03-01,I,2298495
2008-03-01,J,149247136
2008-03-01,K,13564232
2008-03-01,L,6734096
2008-03-01,M,11301464
2008-03-01,N,42877552
2008-03-01,P,372797
2008-03-01,Q,3984469
2008-03-01,R,4735072
2008-03-01,S,8166038
2008-03-01,Z,3159496
2008-04-01,A,11967040
2008-04-01,B,175500464
2008-04-01,C,2837520384
2008-04-01,D,71628064
2008-04-01,E,639759
2008-04-01,F,61269216
2008-04-01,G,1158811136
2008-04-01,H,59615624
2008-04-01,I,2937498
2008-04-01,J,209628000
2008-04-01,K,14178037
2008-04-01,L,4866388
2008-04-01,M,10442024
2008-04-01,N,119823936
2008-04-01,P,182634
2008-04-01,Q,4604773
2008-04-01,R,2979006
2008-04-01,S,7205996
2008-04-01,Z,3324117
2008-05-01,A,16255362
2008-05-01,B,148810848
2008-05-01,C,2861358848
2008-05-01,D,39718736
2008-05-01,E,156884
2008-05-01,F,34760032
2008-05-01,G,1143296512
2008-05-01,H,72920896
2008-05-01,I,2208009
2008-05-01,J,231303872
2008-05-01,K,37954840
2008-05-01,L,4702571
2008-05-01,M,16656731
2008-05-01,N,348055168
2008-05-01,P,165416
2008-05-01,Q,1530072
2008-05-01,R,807040
2008-05-01,S,9757028
2008-05-01,Z,5704619
2008-06-01,A,18560206
2008-06-01,B,116560448
2008-06-01,C,3029491968
2008-06-01,D,56180832
2008-06-01,E,719488
2008-06-01,F,37633708
2008-06-01,G,1122420096
2008-06-01,H,36894088
2008-06-01,I,3399721
2008-06-01,J,178619056
2008-06-01,K,8491119
2008-06-01,L,6105438
2008-06-01,M,9256764
2008-06-01,N,432877856
2008-06-01,P,78457
2008-06-01,Q,7001756
2008-06-01,R,1932334
2008-06-01,S,14053673
2008-06-01,Z,4565453
2008-07-01,A,11086849
2008-07-01,B,144884752
2008-07-01,C,3345745920
2008-07-01,D,125597792
2008-07-01,E,851651
2008-07-01,F,17230672
2008-07-01,G,1281112704
2008-07-01,H,118243304
2008-07-01,I,9393800
2008-07-01,J,180976080
2008-07-01,K,13804771
2008-07-01,L,7147744
2008-07-01,M,13650394
2008-07-01,N,373179840
2008-07-01,P,111788
2008-07-01,Q,4510288
2008-07-01,R,2924531
2008-07-01,S,5047794
2008-07-01,Z,3759220
2008-08-01,A,21067944
2008-08-01,B,163023888
2008-08-01,C,2997050112
2008-08-01,D,94895464
2008-08-01,E,272999
2008-08-01,F,44185880
2008-08-01,G,1173243008
2008-08-01,H,53936312
2008-08-01,I,2254967
2008-08-01,J,198005632
