fecha,clae2,total_cif
2007-01-01,1,12721400
2007-01-01,2,186719
2007-01-01,3,9410215
2007-01-01,5,-99
2007-01-01,6,62936376
2007-01-01,7,24664020
2007-01-01,8,3028703
2007-01-01,9,38762924
2007-01-01,10,120830232
2007-01-01,11,21790156
2007-01-01,12,7880532
2007-01-01,13,60628928
2007-01-01,14,6725279
2007-01-01,15,16883508
2007-01-01,16,8447548
2007-01-01,17,68381176
2007-01-01,18,10180148
2007-01-01,19,29191996
2007-01-01,20,195400960
2007-01-01,21,69517664
2007-01-01,22,117947640
2007-01-01,23,21208676
2007-01-01,24,229887968
2007-01-01,25,38034488
2007-01-01,26,64526708
2007-01-01,27,51599104
2007-01-01,28,68652416
2007-01-01,29,461792192
2007-01-01,30,14472676
2007-01-01,31,3774782
2007-01-01,32,4728262
2007-01-01,33,16900350
2007-01-01,35,10022627
2007-01-01,36,255085
2007-01-01,38,1612437
2007-01-01,41,1248490
2007-01-01,42,10933210
2007-01-01,43,5691503
2007-01-01,45,70829176
2007-01-01,46,583363712
2007-01-01,47,77306816
2007-01-01,49,21719312
2007-01-01,50,808281
2007-01-01,51,49988304
2007-01-01,52,10119084
2007-01-01,53,35923
2007-01-01,55,580657
2007-01-01,56,1324052
2007-01-01,58,9243247
2007-01-01,59,322055
2007-01-01,60,6615411
2007-01-01,61,105671848
2007-01-01,62,9127052
2007-01-01,63,2623402
2007-01-01,64,9486694
2007-01-01,65,1124708
2007-01-01,66,-99
2007-01-01,68,8625382
2007-01-01,69,60886
2007-01-01,70,9712218
2007-01-01,71,3881992
2007-01-01,72,876282
2007-01-01,73,1287470
2007-01-01,74,286609
2007-01-01,75,36827
2007-01-01,77,3656772
2007-01-01,79,19600
2007-01-01,80,189730
2007-01-01,82,26208938
2007-01-01,85,201882
2007-01-01,86,2777211
2007-01-01,87,-99
2007-01-01,90,-99
2007-01-01,91,22643
2007-01-01,92,2449047
2007-01-01,93,217319
2007-01-01,94,1888541
2007-01-01,95,1132885
2007-01-01,96,1400527
2007-01-01,999,1679963
2007-02-01,1,9004107
2007-02-01,2,75376
2007-02-01,3,4084999
2007-02-01,5,-99
2007-02-01,6,53443240
2007-02-01,7,19449160
2007-02-01,8,1358024
2007-02-01,9,27600768
2007-02-01,10,122342824
2007-02-01,11,20761164
2007-02-01,12,7198037
2007-02-01,13,56652592
2007-02-01,14,6771672
2007-02-01,15,18665312
2007-02-01,16,6358512
2007-02-01,17,52303964
2007-02-01,18,13998207
2007-02-01,19,24500640
2007-02-01,20,178028496
2007-02-01,21,58115716
2007-02-01,22,86780208
2007-02-01,23,16414100
2007-02-01,24,156828480
2007-02-01,25,30590718
2007-02-01,26,51368332
2007-02-01,27,35249668
2007-02-01,28,62805744
2007-02-01,29,615949632
2007-02-01,30,15641664
2007-02-01,31,3581010
2007-02-01,32,4170399
2007-02-01,33,15857133
2007-02-01,35,16671291
2007-02-01,36,-99
2007-02-01,37,43996
2007-02-01,38,829736
2007-02-01,41,1596334
2007-02-01,42,13620547
2007-02-01,43,5516690
2007-02-01,45,53398444
2007-02-01,46,525974592
2007-02-01,47,62219476
2007-02-01,49,8868382
2007-02-01,50,1344067
2007-02-01,51,28370188
2007-02-01,52,14382806
2007-02-01,53,35158
2007-02-01,55,432426
2007-02-01,56,598631
2007-02-01,58,5658829
2007-02-01,59,723864
2007-02-01,60,6302719
2007-02-01,61,136346400
2007-02-01,62,6312407
2007-02-01,63,980814
2007-02-01,64,9157252
2007-02-01,65,-99
2007-02-01,66,-99
2007-02-01,68,7047307
2007-02-01,69,48485
2007-02-01,70,8946690
2007-02-01,71,2984279
2007-02-01,72,957990
2007-02-01,73,565943
2007-02-01,74,29410
2007-02-01,75,-99
2007-02-01,77,6217121
2007-02-01,78,-99
2007-02-01,79,125087
2007-02-01,80,503459
2007-02-01,81,-99
2007-02-01,82,19695008
2007-02-01,85,98933
2007-02-01,86,2216276
2007-02-01,90,-99
2007-02-01,91,-99
2007-02-01,92,1471975
2007-02-01,93,587199
2007-02-01,94,854269
2007-02-01,95,1407571
2007-02-01,96,1229656
2007-02-01,999,5062415
2007-03-01,1,8429147
2007-03-01,2,-99
2007-03-01,3,2507188
2007-03-01,5,-99
2007-03-01,6,69853776
2007-03-01,7,13836466
2007-03-01,8,1716356
2007-03-01,9,25616986
2007-03-01,10,141337184
2007-03-01,11,23922752
2007-03-01,12,7297250
2007-03-01,13,64466404
2007-03-01,14,11209912
