fecha,total_cif
2007-01-01,2920295168
2007-02-01,2740217856
2007-03-01,3380956416
2007-04-01,3105129728
2007-05-01,3505032448
2007-06-01,3577456640
2007-07-01,4103134464
2007-08-01,4528578048
2007-09-01,3883279360
2007-10-01,4328524800
2007-11-01,4313841664
2007-12-01,3882141696
2008-01-01,4505508864
2008-02-01,4135577600
2008-03-01,4108007936
2008-04-01,4884730880
2008-05-01,5137560064
2008-06-01,5250838528
2008-07-01,5909318656
2008-08-01,5119075840
2008-09-01,5285288448
2008-10-01,5083928064
2008-11-01,4126893312
2008-12-01,3408383488
2009-01-01,2794916352
2009-02-01,2604801536
2009-03-01,2829309696
2009-04-01,2737901312
2009-05-01,2632760576
2009-06-01,3586139648
2009-07-01,3533363712
2009-08-01,3213393152
2009-09-01,3605437952
2009-10-01,3624430080
2009-11-01,3601540608
2009-12-01,3544791040
2010-01-01,3147714816
2010-02-01,3394754560
2010-03-01,4360990208
2010-04-01,4114172160
2010-05-01,4566533632
2010-06-01,5035188224
2010-07-01,5121616896
2010-08-01,5291715072
2010-09-01,5429880832
2010-10-01,4966660096
2010-11-01,5551994368
2010-12-01,5379665920
2011-01-01,4864484352
2011-02-01,4820146176
2011-03-01,5738701312
2011-04-01,5574532096
2011-05-01,6419827712
2011-06-01,6654261248
2011-07-01,6620678656
2011-08-01,7587813376
2011-09-01,6944235520
2011-10-01,6257394688
2011-11-01,6236119552
2011-12-01,6015066624
2012-01-01,5404344320
2012-02-01,4717987328
2012-03-01,5227894784
2012-04-01,4776826880
2012-05-01,6072922624
2012-06-01,6093196800
2012-07-01,6342268928
2012-08-01,6336829440
2012-09-01,5888084992
2012-10-01,6353612800
2012-11-01,5888199680
2012-12-01,5508073984
2013-01-01,5384944128
2013-02-01,5299956224
2013-03-01,5732116992
2013-04-01,6268219392
2013-05-01,7172597760
2013-06-01,6670745088
2013-07-01,7041658368
2013-08-01,7135164416
2013-09-01,6189748736
2013-10-01,6985502720
2013-11-01,6038420480
2013-12-01,5711504896
2014-01-01,5433645568
2014-02-01,5436163072
2014-03-01,5584333312
2014-04-01,5419109376
2014-05-01,5692108288
2014-06-01,5888816640
2014-07-01,5785270272
2014-08-01,5527815168
2014-09-01,5717657088
2014-10-01,5157585920
2014-11-01,4681913856
2014-12-01,4361802752
2015-01-01,4247594240
2015-02-01,3986574592
2015-03-01,4968370176
2015-04-01,4994843648
2015-05-01,4918155264
2015-06-01,5643011072
2015-07-01,5660407808
2015-08-01,5632472576
2015-09-01,5420206080
2015-10-01,4966599680
2015-11-01,4733111296
2015-12-01,4472915456
2016-01-01,4037133824
2016-02-01,4013812736
2016-03-01,4691977216
2016-04-01,4404401664
2016-05-01,4875991040
2016-06-01,5129148416
2016-07-01,5046010368
2016-08-01,5523266560
2016-09-01,4851761152
2016-10-01,4853364736
2016-11-01,4768751616
2016-12-01,4505033216
2017-01-01,4650900480
2017-02-01,4028100608
2017-03-01,5583547392
2017-04-01,4850699776
2017-05-01,6034768384
2017-06-01,5736771584
2017-07-01,6075848704
2017-08-01,6312326144
2017-09-01,6057105920
2017-10-01,6098362880
2017-11-01,6084807680
2017-12-01,5360371200
2018-01-01,5828013568
2018-02-01,5301898240
2018-03-01,6199623680
2018-04-01,5974797312
2018-05-01,6461378048
2018-06-01,5656960000
2018-07-01,6225598464
2018-08-01,6165006848
2018-09-01,4744480256
2018-10-01,5003282944
2018-11-01,4315804672
2018-12-01,4055582464
2019-01-01,4057748992
2019-02-01,4447182336
2019-03-01,4026846464
2019-04-01,4312921600
2019-05-01,4673846272
2019-06-01,4280147712
2019-07-01,5098643456
2019-08-01,4255656704
2019-09-01,4259553024
2019-10-01,4070931200
2019-11-01,3586252288
2019-12-01,3361040896
2020-01-01,3710357760
2020-02-01,3285296384
2020-03-01,3312349184
2020-04-01,3018209792
2020-05-01,3243319808
2020-06-01,3368339200
2020-07-01,3641730560
2020-08-01,3503553280
2020-09-01,4063532544
2020-10-01,3918940416
2020-11-01,4067867392
2020-12-01,3841518592
2021-01-01,3827346432
2021-02-01,3692421888
2021-03-01,5241341952
2021-04-01,4696734720
2021-05-01,5579945984
2021-06-01,5905144832
2021-07-01,5561142784
2021-08-01,5626540032
2021-09-01,5766340608
2021-10-01,5178940416
2021-11-01,5917424128
2021-12-01,6073627648
2022-01-01,5383979008
2022-02-01,5549426688
2022-03-01,7068242944
2022-04-01,7069713920
2022-05-01,8849671168
2022-06-01,8620274688
2022-07-01,9515956224
2022-08-01,8374696960
2022-09-01,7387983872
2022-10-01,6151179264
2022-11-01,6552770560
2022-12-01,5747096064
2023-01-01,5889342976
2023-02-01,5665786368
2023-03-01,7480791040
2023-04-01,6682428928
2023-05-01,7462316032
2023-06-01,7627035648
2023-07-01,6647179776
2023-08-01,6883021312
2023-09-01,6699061248
2023-10-01,6135478272
2023-11-01,5410750976
